name,id,voted,votes,percent,active
"Udo VOIGT",124832,1834,2058,89.12,True
"Pier Antonio PANZERI",28365,1833,2058,89.07,True
"Javier COUSO PERMUY",125997,1831,2058,88.97,True
"Jean-Luc MÉLENCHON",96742,1830,2058,88.92,True
"Ian DUNCAN",124960,1828,2058,88.82,True
"Brian HAYES",118658,1827,2058,88.78,True
"Jean-François JALKH",124770,1826,2058,88.73,True
"Carlos ITURGAIZ",28398,1825,2058,88.68,True
"Jens NILSSON",111024,1825,2058,88.68,True
"Henna VIRKKUNEN",124726,1825,2058,88.68,True
"Udo BULLMANN",4267,1823,2058,88.58,True
"Gabrielius LANDSBERGIS",124759,1822,2058,88.53,True
"Sergio Gaetano COFFERATI",96915,1821,2058,88.48,True
"Constanze KREHL",1854,1821,2058,88.48,True
"Sergio GUTIÉRREZ PRIETO",103488,1820,2058,88.44,True
"Javier NART",125005,1820,2058,88.44,True
"Ernest URTASUN",124972,1820,2058,88.44,True
"David CASA",28122,1819,2058,88.39,True
"Bogusław LIBERADZKI",23768,1819,2058,88.39,True
"Monica MACOVEI",96824,1819,2058,88.39,True
"Luke Ming FLANAGAN",124985,1818,2058,88.34,True
"Daniela AIUTO",124842,1816,2058,88.24,True
"Alberto CIRIO",124772,1815,2058,88.19,True
"Marian-Jean MARINESCU",33982,1814,2058,88.14,True
"Patrizia TOIA",28340,1814,2058,88.14,True
"Jörg LEICHTFRIED",28251,801,909,88.12,False
"Georgios EPITIDEIOS",125071,1813,2058,88.10,True
