Name,Country,Political_group,Party,Institution,Previous_position,New_position,Category_activity,Link_profile,Link_source,Description,Paid_unpaid,Date,Answers,Certified
Kyriacos TRIANTAPHYLLIDES,Cyprus,GUE/NGL,Progressive Party of Working People,European Parliament,MEP,Teacher in University of Porto. Member of the National Board of Left Bloc.,Academic,,https://en.wikipedia.org/wiki/Kyriacos_Triantaphyllides,,,,,TI-CY
Rafa? TRZASKOWSKI,Poland,EPP,Civic Platform,European Parliament,MEP,Polish MP,Elected office & public sector,,,,,,,
Ioannis A. TSOUKALAS,Greece,EPP,New Democracy,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Emilie TURUNEN,Denmark,Greens-EFA,Socialist People's Party,European Parliament,MEP,Head of public affairs at Nykredit,Brussels-focussed lobbying,,https://corporateeurope.org/revolvingdoorwatch/cases/emilie-turunen,,,,,
Niki TZAVELA,Greece,EFD,Popular Orthodox Rally,European Parliament,MEP,"board of directors of the Arab International Women's Forum, member of the Parliamentarians Network for conflict prevention",NGO,,,,,,,
Giommaria UGGIAS,Italy,ALDE,0,European Parliament,MEP,"Avvocato, Studio Legale Uggias",lawyer,,,,,,,
Thomas ULMER,Germany,EPP,Christian Democratic Union,European Parliament,MEP,Doctor,Other,,https://de.wikipedia.org/wiki/Thomas_Ulmer,,,,,TI-DE
Corneliu VADIM TUDOR,Romania,NI,Greater Romania Party,European Parliament,MEP,Died,Deceased,,,,,,,
Oleg VALJALO,Croatia,S&D,Social Democratic Party,European Parliament,MEP,"Member of the board, Hrvatska Lutrija (Casinos)",Private Sector,,,,,,,
Frank VANHECKE,Belgium,NI / EFD,Flemish Interest / Independent,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Gianni VATTIMO,Italy,ALDE,0,European Parliament,MEP,Philosopher and university professor ,Academic,,,,,,,
Bernadette VERGNAUD,France,S&D,Socialist Party,European Parliament,MEP,Vice-President of Confrontations Europe - think tank,Brussels-focussed lobbying,,,,,,,
Alejo VIDAL-QUADRAS,Spain,EPP,Vox,European Parliament,MEP,Retired,retired,,,,,,,
Kristian VIGENIN,Bulgaria,S&D,Coalition for Bulgaria (Socialist Party),European Parliament,MEP,OSCE Special Representative on the Caucasus,Elected office & public sector,,,,,,,
Philippe de VILLIERS,France,EFD,Libertas (MPF),European Parliament,MEP,"President of Mouvement pour la France, writer. ",Elected office & public sector,,,,,,,
Justina VITKAUSKAITE BERNARD,Lithuania,ALDE,DP,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Old?ich VLASÁK,Czech Republic,ECR,Civic Democratic Party,European Parliament,MEP,"Working for Aktivit (Engineering company Aktivit located in Novy Bor succesfully provides engineering, designs, produces and supplies higly sofisticated products ). Also a town councillor",Private Sector,,,,,,,
Dominique VLASTO,France,EPP,Union for a Popular Movement,European Parliament,MEP,Retired,retired,,,,,,,
Nikola VULJANI?,Croatia,GUE/NGL,Labourists–Labour Party,European Parliament,MEP,Croate MP,Elected office & public sector,,,,,,,
Diana WALLIS,United Kingdom,ALDE,LibDem,European Parliament,MEP,"President of the European Law Institute, Member of the Board of Directors of the International Mediation Institute",lawyer,,,,,,,
Sir Graham WATSON,United Kingdom,ALDE,LibDem,European Parliament,MEP,Founder and managing director at Bagehot Ltd,Brussels-focussed lobbying,,https://corporateeurope.org/revolvingdoorwatch/cases/graham-watson,,,,,
Henri WEBER,France,S&D,Socialist Party,European Parliament,MEP,Retired,retired,,,,,,,
Barbara WEILER,Germany,S&D,Social Democratic Party,European Parliament,MEP,No updated information available,Unknown,,,,,,,TI-DE
Anja WEISGERBER,Germany,EPP,Christian Social Union (Bavaria),European Parliament,MEP,Elected official in the Bundestag. Lawyer in the firm GSK Stockman ,Elected office & public sector,,http://www.gsk.de/en/person/anja.weisgerber/,,,,,TI-DE
Angelika WERTHMANN,Austria,NI,Hans-Peter Martin's List,European Parliament,MEP,Member of the Directory of European Network for Women in Leadership,NGO,,,Check this. Job?,,,,
Åsa WESTLUND,Sweden,S&D,Social Democratic Party,European Parliament,MEP,Member of Swedish Riksdag,Elected office & public sector,,,,,,,
Sabine WILS,Germany,GUE/NGL,The Left,European Parliament,MEP,"Spokesperson for Die Linke, Hamburg",Elected office & public sector,,https://www.die-linke.de/partei/organe/parteivorstand/parteivorstaende-archiv/parteivorstand-2012-2014/mitglieder/wils-sabine/,,,,,TI-DE
Jacek W?OSOWICZ,Poland,ECR,Law and Justice,European Parliament,MEP,Senator in Poland,Elected office & public sector,,,,,,,
Corien WORTMANN-KOOL,Netherlands,EPP,Christian Democratic Appeal,European Parliament,MEP,"Supervisory board member. (Aegon NV, ABP, Kadaster). VP of the EPP party, Member of the NL Central Bureau of Statistics , Boardmember for Save the Children NL",Brussels-focussed lobbying,,https://corporateeurope.org/revolvingdoorwatch/cases/corien-wortmann-kool,,,,,Raphael
Luis YÁÑEZ-BARNUEVO GARCÍA,Spain,S&D,Socialist Workers' Party,European Parliament,MEP,Retired,retired,,,,,,,
Marina YANNAKOUDAKIS,United Kingdom,ECR,Conservative Party,European Parliament,MEP,Member of EESC,Elected office & public sector,,,,,,,
Zbigniew ZALESKI,Poland,EPP,PO,European Parliament,MEP,Retired,retired,,,,,,,
Pawe? ZALEWSKI,Poland,EPP,Civic Platform,European Parliament,MEP,Board member: http://www.instytutobywatelski.pl/,Unknown,,,Check this. Media?,,,,
Dan Dumitru ZAMFIRESCU,Romania,NI,PRM,European Parliament,MEP,Retired. Also The Yes Man : http://www.spiegel.de/international/europe/suspicious-voting-record-of-romanian-mep-dumitru-zamfirescu-a-929117.html,retired,,,,,,,
Iva ZANICCHI,Italy,EPP,0,European Parliament,MEP,Retired,retired,,,,,,,
Andrea ZANONI,Italy,S&D,PD,European Parliament,MEP,"Member of the Regional Council of Veneto. Andrea Zanoni is president of the Circle Ecodem (Ecologists and Democrats) in Treviso, President of LAC - League for the Abolition of Hunting of the Veneto and of the environmental Paeseambiente.",Elected office & public sector,,,,,,,
Artur ZASADA,Poland,EPP,Civic Platform,European Parliament,MEP,Member of Sejm (Polish Parliament),Elected office & public sector,,,,,,,
Karim ZÉRIBI,France,Greens-EFA,Europe écologie,European Parliament,MEP,"Com-Relations Publiques RSE/DD, SNCF, Intervenant régulier dans les Médias RMC les GG et ITÉLÉ avec Audrey Pulvar. RMC & i Télé, Directeur du Groupe SNCF Algérie-TunisieSNCF",potential,,,Recheck this,,,,
Zbigniew ZIOBRO,Poland,ECR,Law and Justice,European Parliament,MEP,Minister of Justice,Elected office & public sector,,,,,,,
Viviane Reding,Luxembourg,,,European Commission,"Commissioner for Justice, Fundamental Rights and Citizenship ",Member of the Kuratorium (Board of Trustees/ supervisory board) of the Bertelsmann Foundation,,,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2103-EN-F1-1.Pdf,"provided that Ms REDING avoided any conflicts of interest incompatible with the Code of Conduct for Commissioners in particular when projects of the Bertelsmann Foundation involved requesting and/or obtaining Community cofinancing and that, within the 18 months after ceasing to hold office, she abstained from lobbying and defending the Foundation's interests to the Commission; ",paid  ,29/10/2014,yes,http://www.asktheeu.org/en/request/1549/response/5975/attach/4/annex%20ii.pdf + http://www.asktheeu.org/en/request/1549/response/6127/attach/4/annex%20i.pdf + http://www.asktheeu.org/en/request/1549/response/6127/attach/6/annex%20iii.pdf
Viviane Reding,Luxembourg,,,European Commission,"Commissioner for Justice, Fundamental Rights and Citizenship ","Planned cooperation with various Speakers Bureaux, including Premium Speakers Deutschland and Celebrity Speakers UK ",,,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2110-EN-F1-1.Pdf,"provided that she fulfilled her obligations under Articles 245 and 339 TFEU and the Code of Conduct for Commissioners, including protection of confidentiality and collective responsibility in respect of matters covered by the Commission during her three terms of office, and eschewed any activity that might conflict with her duties of integrity and discretion; ",,16/12/2014,"no, because it was similar to the role authorised for Barroso in November 2014, and this should be authorised on the same terms",http://www.asktheeu.org/en/request/1695/response/6138/attach/3/annexes.pdf
Viviane Reding,Luxembourg,,,European Commission,"Commissioner for Justice, Fundamental Rights and Citizenship ",MEP,,,,No authorisation required,paid  ,- ,no,
Viviane Reding,Luxembourg,,,European Commission,"Commissioner for Justice, Fundamental Rights and Citizenship ",Sit on the Honorary Council of the European Movement International ,,,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2126-EN-F1-1.PDF,No authorisation required,,- ,no,http://www.asktheeu.org/en/request/2029/response/7132/attach/2/annexes.pdf
Viviane Reding,Luxembourg,,,European Commission,"Commissioner for Justice, Fundamental Rights and Citizenship ",member of the Advisory Board of the Global Economic Symposium ,,,,"Provided that she demonstrated integrity and discretion in all circumstances, that she protected collective responsibility and the confidentiality of issues handled by the Commission during her three terms of office as a Member of the Commission, and that she refrained from lobbying the Commission and/or its departments on behalf of the Global Economic Symposium and/or in the interests of related bodies during the 18 months after she left office. ",,18/02/2015,no,http://www.asktheeu.org/en/request/1821/response/6499/attach/3/annexes.pdf
Viviane Reding,Luxembourg,,,European Commission,"Commissioner for Justice, Fundamental Rights and Citizenship ",Member of the board of the UEFA Foundation for children ,,,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2110-EN-F1-1.Pdf,"reminded Mr FÜLE  of  the  obligations  he  remained  under, concerning  the  protection  of  collective  responsibility  and  confidentiality  of the  matters  dealt  with  by  the  Commission  during  his  term  of  office  in accordance with Articles245(2) and 339 of the TFEU",unpaid,16/12/2014,no,http://www.asktheeu.org/en/request/1695/response/6138/attach/3/annexes.pdf
Viviane Reding,Luxembourg,,,European Commission,"Commissioner for Justice, Fundamental Rights and Citizenship ",member of the Board of Directors of Agfa-Gevaert ,,,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2109-EN-F1-1.Pdf,providing Ms REDING respected Article 339 TFEU and she abstained from lobbying or defending the interests of the company in question to the Commission for 18 months after leaving the Commission. ,paid  ,10/12/2014,no,http://www.asktheeu.org/en/request/1549/response/6127/attach/6/annex%20iii.pdf
Viviane Reding,Luxembourg,,,European Commission,"Commissioner for Justice, Fundamental Rights and Citizenship ","Member of the Board of Directors of the enterprise Nyrstar. NB: Reding's office told Politico that she ""is not and will not be part of the Nyrstar Board of Directors.” ",,,http://ec.europa.eu/transparency/regdoc/rep/10061/2014/EN/10061-2014-2103-EN-F1-1.Pdf,"provided that Ms REDING respected Article 339 of the Treaty on the Functioning of the European Union and that, within the 18 months after ceasing to hold office, she abstained from lobbying and defending Nyrstar's interests to the Commission ",,29/10/2014,no,http://www.asktheeu.org/en/request/1549/response/5975/attach/4/annex%20ii.pdf + http://www.asktheeu.org/en/request/1549/response/6127/attach/4/annex%20i.pdf + http://www.asktheeu.org/en/request/1549/response/6127/attach/6/annex%20iii.pdf
Tonio Borg,Malta,,,European Commission,Commissioner for Health,Lecturer in public law at University of Malta,,,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2142-EN-F1-1.PDF,"On 17/9/15, Borg told CEO:  “I had applied fro leave without pay from the University of Malta as soon as I was appointed Commissioner  in Nov 2012; this request was granted: as soon as I finished my term as Commissioner, I resumed my duties, as it was my right to do so.” He later appears to have applied for authorisation for this role, which was provided",paid  ,14/10/2015,?,http://www.asktheeu.org/en/request/2352/response/8384/attach/2/annexes.pdf
Tonio Borg,Malta,,,European Commission,Commissioner for Health,Representative of the European Parliament on the Management Board of the European Medicines Agency,,,http://ec.europa.eu/transparency/regdoc/rep/10061/2016/EN/10061-2016-2165-EN-F1-1.PDF,provided  that  Mr BORG  acted  in  all  circumstances  with integrity  and  discretion  in  respect  of  experience  and  knowledge  gained either directly or indirectly during his term of office,?,20/04/2016,?,
Štefan Füle ,Czech Republic,,,European Commission,Commissioner for Enlargement and European Neighbourhood Policy ,Member of Central European Strategy Council’s International Advisory Board,,,http://www.asktheeu.org/en/request/2562/response/9022/attach/2/annexes.pdf,"Provided Mr FÜLE (i) refrained from lobbying the Commission and/or its departments should one of the above-mentioned entities decide to get involved in specific projects related to his former portfolio concerning enlargement and European neighbourhood policy and ask the EU for financial support, and (ii) complied with his obligations under Articles245(2) and 339 of the TFEU and the Code of  Conductof  Commissioners,  in  particular  as  regards  the  protection  of collective  responsibility  and  confidentiality  of  the  matters  dealt  with  by  the Commission during his term of office",,19/01/2016,no,
Štefan Füle ,Czech Republic,,,European Commission,Commissioner for Enlargement and European Neighbourhood Policy ,Czech Ministry of Foreign Affairs,,,http://www.asktheeu.org/en/request/2562/response/9022/attach/2/annexes.pdf,,,19/01/2016,no,
Štefan Füle ,Czech Republic,,,European Commission,Commissioner for Enlargement and European Neighbourhood Policy ,member of the Board of Trustees of Friends of Europe ,,,http://www.asktheeu.org/en/request/2562/response/9022/attach/2/annexes.pdf,"Provided Mr FÜLE (i) refrained from lobbying the Commission and/or its departments should one of the above-mentioned entities decide to get involved in specific projects related to his former portfolio concerning enlargement and European neighbourhood policy and ask the EU for financial support, and (ii) complied with his obligations under Articles245(2) and 339 of the TFEU and the Code of  Conductof  Commissioners,  in  particular  as  regards  the  protection  of collective  responsibility  and  confidentiality  of  the  matters  dealt  with  by  the Commission during his term of office",,19/01/2016,no,
Štefan Füle ,Czech Republic,,,European Commission,Commissioner for Enlargement and European Neighbourhood Policy ,President of the Advisory Board of the Initiative for European Value,,,http://www.asktheeu.org/en/request/2562/response/9022/attach/2/annexes.pdf,"Provided Mr FÜLE (i) refrained from lobbying the Commission and/or its departments should one of the above-mentioned entities decide to get involved in specific projects related to his former portfolio concerning enlargement and European neighbourhood policy and ask the EU for financial support, and (ii) complied with his obligations under Articles245(2) and 339 of the TFEU and the Code of  Conductof  Commissioners,  in  particular  as  regards  the  protection  of collective  responsibility  and  confidentiality  of  the  matters  dealt  with  by  the Commission during his term of office",,19/01/2016,no,
Štefan Füle ,Czech Republic,,,European Commission,Commissioner for Enlargement and European Neighbourhood Policy ,Member of the Program Council of the Forum2000 Foundation,,,http://ec.europa.eu/transparency/regdoc/rep/10061/2016/EN/10061-2016-2152-EN-F1-1.PDF,"Provided Mr FÜLE (i) refrained from lobbying the Commission and/or its departments should one of the above-mentioned entities decide to get involved in specific projects related to his former portfolio concerning enlargement and European neighbourhood policy and ask the EU for financial support, and (ii) complied with his obligations under Articles245(2) and 339 of the TFEU and the Code of  Conductof  Commissioners,  in  particular  as  regards  the  protection  of collective  responsibility  and  confidentiality  of  the  matters  dealt  with  by  the Commission during his term of office",,19/01/2016,no,
Štefan Füle ,Czech Republic,,,European Commission,Commissioner for Enlargement and European Neighbourhood Policy ,Special Representative of the Organization for Security and Co-operation in Europe (OSCE) for the Western Balkans   ,,,http://ec.europa.eu/transparency/regdoc/rep/10061/2016/EN/10061-2016-2152-EN-F1-1.PDF,"reminded Mr FÜLE  of  the  obligations  he  remained  under, concerning  the  protection  of  collective  responsibility  and  confidentiality  of the  matters  dealt  with  by  the  Commission  during  his  term  of  office  in accordance with Articles245(2) and 339 of the TFEU",,19/01/2016,no,
Siim Kallas,Estonia,,,European Commission,Commissioner for Transport,Chair of Commission's High Level Group of Independent Experts on Monitoring Simplification for Beneficiaries of the European Structural and Investment Funds,,,http://ec.europa.eu/regional_policy/en/policy/how/improving-investment/high-level-group-simplification/#1,No authorisation required,,- ,no,
Siim Kallas,Estonia,,,European Commission,Commissioner for Transport,"Special Adviser to Commissioner Dombrovskis on strategic and political advice on future of EMU, economic relations with Eastern neighbourhood",,,http://ec.europa.eu/civil_service/about/who/sa_en.htm,No authorisation required,,- ,no,
Siim Kallas,Estonia,,,European Commission,Commissioner for Transport,Consultant for Nortal ,,,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2122-EN-F1-1.PDF,"On the condition that you abide by your obligations stipulated in Articles 245 and 339 of the TFEU and in the Code of Conduct for Commissioners, namely that you behave, in all circumstances, with integrity and discretion, that you protect the collegiality and confidentiality of the matters dealt with by the Commission during your mandates and that you refrain from lobbying the Commission and/or its services, for Nortal, during eighteen months after the end of your mandate ",paid  ,22/04/2015,no,http://www.asktheeu.org/en/request/1947/response/7005/attach/2/annexes.pdf
Siim Kallas,Estonia,,,European Commission,Commissioner for Transport,Visiting Professor for European Transport Policy at the Tallinn University of Technology,,,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2120-EN-F1-1.PDF,"Provided that Mr KALLAS fulfilled his obligations under Articles 245(2) and 339 TFEU and section 1.7 of the Code of Conduct for Commissioners, and more precisely, that he acted with discretion at all times and protected collective responsibility and confidentiality in respect of matters covered by the Commission during his two terms of office. ",paid  ,18/03/2015,no,http://www.asktheeu.org/en/request/1793/response/6527/attach/2/annexes.pdf
Siim Kallas,Estonia,,,European Commission,Commissioner for Transport,Lecturer in international finance in the Faculty of Economics of the University of Tartu,,,http://ec.europa.eu/transparency/regdoc/rep/10061/2015/EN/10061-2015-2115-EN-F1-1.PDF,,paid  ,10/02/2015,no,http://www.asktheeu.org/en/request/1793/response/6527/attach/2/annexes.pdf
Olli Rehn,Finland,,,European Commission,Commissioner for Economic and Monetary Affairs and the Euro ,"Director, Central Bank of Finland",,,http://yle.fi/uutiset/osasto/news/rehn_steps_down_as_minister_joins_bank_of_finland/9230347,No authorisation required,paid  ,- ,no,
Olli Rehn,Finland,,,European Commission,Commissioner for Economic and Monetary Affairs and the Euro ,MP + Minister of Economic Affairs,,,,No authorisation required,paid  ,29/05/2015,no,
Olli Rehn,Finland,,,European Commission,Commissioner for Economic and Monetary Affairs and the Euro ,MEP,,,http://www.europarl.europa.eu/meps/en/2119/OLLI_REHN_activities.html,No authorisation required,paid  ,- ,no,
